hgnc_symbol	gene_biotype	ensembl_gene_id	ensembl_gene_id_version
KIR2DL4	protein_coding	ENSG00000278074	ENSG00000278074.1
KIR3DL1	protein_coding	ENSG00000277272	ENSG00000277272.5
KIR2DL4	protein_coding	ENSG00000276044	ENSG00000276044.4
KIR2DL4	protein_coding	ENSG00000277355	ENSG00000277355.4
KIR2DS4	polymorphic_pseudogene	ENSG00000274714	ENSG00000274714.1
KIR2DS4	polymorphic_pseudogene	ENSG00000274807	ENSG00000274807.4
PCMTD2	protein_coding	ENSG00000280663	ENSG00000280663.4
NCR1	protein_coding	ENSG00000277334	ENSG00000277334.4
KIR3DL1	protein_coding	ENSG00000276379	ENSG00000276379.1
LILRP2	transcribed_processed_pseudogene	ENSG00000275442	ENSG00000275442.4
KIR3DP1	protein_coding	ENSG00000276518	ENSG00000276518.1
KIR2DS2	protein_coding	ENSG00000278152	ENSG00000278152.2
KIR2DL3	protein_coding	ENSG00000277484	ENSG00000277484.5
KIR2DL4	protein_coding	ENSG00000273575	ENSG00000273575.4
KIR2DL1	protein_coding	ENSG00000273510	ENSG00000273510.1
KIR2DL4	protein_coding	ENSG00000275237	ENSG00000275237.4
KIR3DP1	transcribed_unprocessed_pseudogene	ENSG00000275751	ENSG00000275751.4
FCAR	protein_coding	ENSG00000276858	ENSG00000276858.4
KIR2DL1	protein_coding	ENSG00000277616	ENSG00000277616.1
KIR3DL1	protein_coding	ENSG00000275717	ENSG00000275717.5
OPRL1	protein_coding	ENSG00000277044	ENSG00000277044.3
LILRP1	unprocessed_pseudogene	ENSG00000273670	ENSG00000273670.1
KIR2DL2	protein_coding	ENSG00000277251	ENSG00000277251.5
KIR2DP1	unprocessed_pseudogene	ENSG00000274476	ENSG00000274476.1
NPBWR2	protein_coding	ENSG00000277339	ENSG00000277339.2
	unprocessed_pseudogene	ENSG00000277456	ENSG00000277456.1
KIR2DL4	protein_coding	ENSG00000278606	ENSG00000278606.4
	lncRNA	ENSG00000280695	ENSG00000280695.1
MYT1	protein_coding	ENSG00000276876	ENSG00000276876.4
KIR3DL1	protein_coding	ENSG00000276501	ENSG00000276501.5
KIR3DL3	protein_coding	ENSG00000276328	ENSG00000276328.1
LILRP2	transcribed_unprocessed_pseudogene	ENSG00000273755	ENSG00000273755.4
	processed_pseudogene	ENSG00000262025	ENSG00000262025.1
	lncRNA	ENSG00000263275	ENSG00000263275.1
	unprocessed_pseudogene	ENSG00000262299	ENSG00000262299.1
KIR2DL2	protein_coding	ENSG00000275407	ENSG00000275407.1
GEMIN2P1	processed_pseudogene	ENSG00000262767	ENSG00000262767.1
GATAD2B	protein_coding	ENSG00000261992	ENSG00000261992.2
KIR2DL1	protein_coding	ENSG00000278805	ENSG00000278805.1
KIR2DL1	protein_coding	ENSG00000274692	ENSG00000274692.1
KIR2DS4	polymorphic_pseudogene	ENSG00000277345	ENSG00000277345.1
KIR3DL2	protein_coding	ENSG00000276424	ENSG00000276424.4
KRT20	protein_coding	ENSG00000263057	ENSG00000263057.2
KIR2DS4	protein_coding	ENSG00000273526	ENSG00000273526.1
KIR3DL3	protein_coding	ENSG00000275062	ENSG00000275062.1
KIR3DL1	protein_coding	ENSG00000276423	ENSG00000276423.6
KIR3DL3	protein_coding	ENSG00000275433	ENSG00000275433.1
KRTAP3-1	protein_coding	ENSG00000262068	ENSG00000262068.3
FCAR	protein_coding	ENSG00000273738	ENSG00000273738.4
KIR3DP1	transcribed_unprocessed_pseudogene	ENSG00000278786	ENSG00000278786.4
KRTAP3-2	protein_coding	ENSG00000263296	ENSG00000263296.2
KIR3DL1	protein_coding	ENSG00000274948	ENSG00000274948.5
KRTAP4-9	protein_coding	ENSG00000262121	ENSG00000262121.2
	lncRNA	ENSG00000263130	ENSG00000263130.1
SLC27A3	protein_coding	ENSG00000263163	ENSG00000263163.5
DNAH10	protein_coding	ENSG00000281935	ENSG00000281935.1
KRTAP2-4	protein_coding	ENSG00000263091	ENSG00000263091.2
KIR2DS4	protein_coding	ENSG00000276885	ENSG00000276885.1
	lncRNA	ENSG00000264450	ENSG00000264450.1
KIR3DL3	protein_coding	ENSG00000274696	ENSG00000274696.2
KIR3DP1	unprocessed_pseudogene	ENSG00000274163	ENSG00000274163.1
LILRP2	transcribed_processed_pseudogene	ENSG00000274842	ENSG00000274842.4
KRT23	protein_coding	ENSG00000263309	ENSG00000263309.6
KIR3DL1	protein_coding	ENSG00000275786	ENSG00000275786.5
KIR3DP1	transcribed_unprocessed_pseudogene	ENSG00000277835	ENSG00000277835.4
LILRP1	transcribed_unprocessed_pseudogene	ENSG00000277070	ENSG00000277070.1
KIR3DL1	protein_coding	ENSG00000278427	ENSG00000278427.5
KIR2DS4	protein_coding	ENSG00000274406	ENSG00000274406.1
KIR2DS5	protein_coding	ENSG00000276676	ENSG00000276676.5
FCAR	protein_coding	ENSG00000276985	ENSG00000276985.4
KIR2DS4	polymorphic_pseudogene	ENSG00000277078	ENSG00000277078.1
KIR2DP1	unprocessed_pseudogene	ENSG00000277376	ENSG00000277376.1
KIR2DL1	protein_coding	ENSG00000275276	ENSG00000275276.1
KIR3DL3	protein_coding	ENSG00000276084	ENSG00000276084.1
KIR2DS2	protein_coding	ENSG00000276258	ENSG00000276258.1
KIR3DL1	protein_coding	ENSG00000275659	ENSG00000275659.5
KIR2DL5B	protein_coding	ENSG00000275946	ENSG00000275946.5
KIR2DL4	protein_coding	ENSG00000274189	ENSG00000274189.4
LILRP2	transcribed_processed_pseudogene	ENSG00000277267	ENSG00000277267.4
KIR3DL2	protein_coding	ENSG00000277982	ENSG00000277982.4
KIR3DS1	protein_coding	ENSG00000276534	ENSG00000276534.5
LILRP2	transcribed_processed_pseudogene	ENSG00000274120	ENSG00000274120.4
KIR2DS2	protein_coding	ENSG00000276425	ENSG00000276425.1
KIR2DS1	protein_coding	ENSG00000275421	ENSG00000275421.1
KIR2DS3	protein_coding	ENSG00000275047	ENSG00000275047.1
	unprocessed_pseudogene	ENSG00000278345	ENSG00000278345.1
KIR3DL3	protein_coding	ENSG00000275172	ENSG00000275172.1
KIR2DL1	protein_coding	ENSG00000275080	ENSG00000275080.5
KIR3DL2	protein_coding	ENSG00000275511	ENSG00000275511.4
LILRP1	unprocessed_pseudogene	ENSG00000275112	ENSG00000275112.1
KIR2DS2	protein_coding	ENSG00000274518	ENSG00000274518.1
	unprocessed_pseudogene	ENSG00000276013	ENSG00000276013.1
KIR2DL2	protein_coding	ENSG00000277725	ENSG00000277725.5
KIR2DL4	protein_coding	ENSG00000274945	ENSG00000274945.4
	unprocessed_pseudogene	ENSG00000274009	ENSG00000274009.1
KIR2DP1	unprocessed_pseudogene	ENSG00000274942	ENSG00000274942.1
KIR3DL2	protein_coding	ENSG00000274722	ENSG00000274722.4
KIR3DP1	unprocessed_pseudogene	ENSG00000278051	ENSG00000278051.1
KIR3DL2	protein_coding	ENSG00000278850	ENSG00000278850.4
KIR3DL1	protein_coding	ENSG00000273518	ENSG00000273518.5
KIR2DS4	polymorphic_pseudogene	ENSG00000275351	ENSG00000275351.1
KIR2DL1	protein_coding	ENSG00000274782	ENSG00000274782.1
	protein_coding	ENSG00000275018	ENSG00000275018.6
KIR2DL1	protein_coding	ENSG00000277833	ENSG00000277833.4
	processed_pseudogene	ENSG00000262994	ENSG00000262994.1
	protein_coding	ENSG00000269823	ENSG00000269823.1
	misc_RNA	ENSG00000262710	ENSG00000262710.1
	misc_RNA	ENSG00000262469	ENSG00000262469.1
CCDC92	protein_coding	ENSG00000275035	ENSG00000275035.2
	misc_RNA	ENSG00000276295	ENSG00000276295.1
	misc_RNA	ENSG00000275531	ENSG00000275531.1
KIR3DP1	unprocessed_pseudogene	ENSG00000276035	ENSG00000276035.1
LILRP1	unprocessed_pseudogene	ENSG00000276001	ENSG00000276001.1
KIR2DS3	protein_coding	ENSG00000277193	ENSG00000277193.1
KIR3DP1	transcribed_unprocessed_pseudogene	ENSG00000277176	ENSG00000277176.4
LILRP2	transcribed_processed_pseudogene	ENSG00000275289	ENSG00000275289.4
KIR2DL5A	protein_coding	ENSG00000276392	ENSG00000276392.1
KIR2DS3	protein_coding	ENSG00000277650	ENSG00000277650.1
KIR2DL4	protein_coding	ENSG00000277964	ENSG00000277964.1
KIR2DP1	unprocessed_pseudogene	ENSG00000274851	ENSG00000274851.1
KIR3DL1	protein_coding	ENSG00000276329	ENSG00000276329.5
KRT40	protein_coding	ENSG00000262845	ENSG00000262845.7
KIR3DP1	transcribed_unprocessed_pseudogene	ENSG00000276212	ENSG00000276212.4
KIR2DL2	protein_coding	ENSG00000273661	ENSG00000273661.5
KIR3DP1	unprocessed_pseudogene	ENSG00000273688	ENSG00000273688.1
LILRP1	unprocessed_pseudogene	ENSG00000273881	ENSG00000273881.1
KIR2DL3	protein_coding	ENSG00000274830	ENSG00000274830.5
LILRP2	transcribed_processed_pseudogene	ENSG00000274826	ENSG00000274826.4
LILRP1	unprocessed_pseudogene	ENSG00000274271	ENSG00000274271.1
LILRP1	unprocessed_pseudogene	ENSG00000276099	ENSG00000276099.1
	unprocessed_pseudogene	ENSG00000277940	ENSG00000277940.1
LILRP1	unprocessed_pseudogene	ENSG00000277570	ENSG00000277570.1
KIR2DL5A	protein_coding	ENSG00000274676	ENSG00000274676.1
KIR2DL2	protein_coding	ENSG00000273578	ENSG00000273578.1
	unprocessed_pseudogene	ENSG00000276306	ENSG00000276306.1
KIR2DL3	protein_coding	ENSG00000278369	ENSG00000278369.1
KIR2DL4	protein_coding	ENSG00000274955	ENSG00000274955.4
KIR3DL2	protein_coding	ENSG00000276004	ENSG00000276004.4
KIR2DL4	protein_coding	ENSG00000275699	ENSG00000275699.4
KIR3DS1	protein_coding	ENSG00000276498	ENSG00000276498.5
KRTAP1-1	protein_coding	ENSG00000262808	ENSG00000262808.2
	protein_coding	ENSG00000262731	ENSG00000262731.3
KIR2DL5B	protein_coding	ENSG00000274707	ENSG00000274707.5
KIR2DL4	protein_coding	ENSG00000274193	ENSG00000274193.4
KRTAP4-11	protein_coding	ENSG00000263229	ENSG00000263229.4
	lncRNA	ENSG00000262487	ENSG00000262487.1
KRTAP2-5P	unprocessed_pseudogene	ENSG00000262376	ENSG00000262376.1
KRTAP1-3	protein_coding	ENSG00000262347	ENSG00000262347.2
KRTAP4-16	protein_coding	ENSG00000262520	ENSG00000262520.1
KIR2DL3	protein_coding	ENSG00000275008	ENSG00000275008.1
KRT12	protein_coding	ENSG00000263243	ENSG00000263243.2
	lncRNA	ENSG00000281954	ENSG00000281954.1
KIR2DS3	protein_coding	ENSG00000275599	ENSG00000275599.1
KIR2DL3	protein_coding	ENSG00000274402	ENSG00000274402.1
KRTAP1-5	protein_coding	ENSG00000261862	ENSG00000261862.2
KRT39	protein_coding	ENSG00000262164	ENSG00000262164.6
LILRP2	transcribed_processed_pseudogene	ENSG00000276247	ENSG00000276247.4
KIR3DS1	protein_coding	ENSG00000274283	ENSG00000274283.5
KIR3DP1	transcribed_unprocessed_pseudogene	ENSG00000275255	ENSG00000275255.4
LILRP2	transcribed_processed_pseudogene	ENSG00000273528	ENSG00000273528.4
KIR3DL3	protein_coding	ENSG00000276086	ENSG00000276086.1
KIR2DS5	protein_coding	ENSG00000274243	ENSG00000274243.5
NCR1	protein_coding	ENSG00000275521	ENSG00000275521.4
KIR3DL1	protein_coding	ENSG00000275486	ENSG00000275486.5
KIR2DL5B	protein_coding	ENSG00000278414	ENSG00000278414.5
KIR3DL2	protein_coding	ENSG00000278474	ENSG00000278474.4
KIR3DL3	protein_coding	ENSG00000273502	ENSG00000273502.4
KRTAP3-4P	unprocessed_pseudogene	ENSG00000262616	ENSG00000262616.1
KRTAP2-1	protein_coding	ENSG00000261852	ENSG00000261852.3
KIR2DL3	protein_coding	ENSG00000276590	ENSG00000276590.5
KIR3DL3	protein_coding	ENSG00000274480	ENSG00000274480.1
KRTAP3-3	protein_coding	ENSG00000263101	ENSG00000263101.2
KIR2DL1	protein_coding	ENSG00000275750	ENSG00000275750.1
KIR3DL2	protein_coding	ENSG00000278710	ENSG00000278710.4
KRTAP2-3	protein_coding	ENSG00000262862	ENSG00000262862.2
KRTAP4-12	protein_coding	ENSG00000263236	ENSG00000263236.2
KRTAP1-4	protein_coding	ENSG00000263242	ENSG00000263242.2
	protein_coding	ENSG00000266286	ENSG00000266286.2
	protein_coding	ENSG00000261968	ENSG00000261968.3
KIR3DL3	protein_coding	ENSG00000274724	ENSG00000274724.1
KIR2DS1	protein_coding	ENSG00000273603	ENSG00000273603.1
KIR2DL5A	protein_coding	ENSG00000275596	ENSG00000275596.1
	unprocessed_pseudogene	ENSG00000278360	ENSG00000278360.1
KIR2DS2	protein_coding	ENSG00000276139	ENSG00000276139.4
LILRP2	transcribed_processed_pseudogene	ENSG00000273922	ENSG00000273922.4
LILRP2	transcribed_unprocessed_pseudogene	ENSG00000274788	ENSG00000274788.4
KIR3DL3	protein_coding	ENSG00000276806	ENSG00000276806.1
LINC01839	lncRNA	ENSG00000281738	ENSG00000281738.1
LINC02054	lncRNA	ENSG00000281250	ENSG00000281250.1
KIR2DS2	protein_coding	ENSG00000275452	ENSG00000275452.2
KIR3DS1	protein_coding	ENSG00000275608	ENSG00000275608.5
KIR2DL3	protein_coding	ENSG00000276218	ENSG00000276218.5
KIR2DL4	protein_coding	ENSG00000277362	ENSG00000277362.1
KIR3DL2	protein_coding	ENSG00000278442	ENSG00000278442.4
KIR3DL2	protein_coding	ENSG00000278758	ENSG00000278758.4
KIR2DS2	protein_coding	ENSG00000275253	ENSG00000275253.1
KIR3DL2	protein_coding	ENSG00000275626	ENSG00000275626.4
KIR3DL1	protein_coding	ENSG00000274146	ENSG00000274146.5
KIR3DP1	unprocessed_pseudogene	ENSG00000277742	ENSG00000277742.1
LINC00254	lncRNA	ENSG00000282469	ENSG00000282469.1
KIR2DS4	unprocessed_pseudogene	ENSG00000275938	ENSG00000275938.1
HS3ST6	protein_coding	ENSG00000276333	ENSG00000276333.2
LILRP2	transcribed_processed_pseudogene	ENSG00000277963	ENSG00000277963.4
KIR2DP1	unprocessed_pseudogene	ENSG00000278339	ENSG00000278339.1
KIR2DL3	protein_coding	ENSG00000277317	ENSG00000277317.5
MEIOB	lncRNA	ENSG00000282650	ENSG00000282650.1
	unprocessed_pseudogene	ENSG00000276974	ENSG00000276974.1
LILRP1	unprocessed_pseudogene	ENSG00000278325	ENSG00000278325.1
KIR3DL1	protein_coding	ENSG00000278079	ENSG00000278079.6
KIR3DL3	protein_coding	ENSG00000276930	ENSG00000276930.1
LINC02124	lncRNA	ENSG00000282069	ENSG00000282069.1
KIR3DL3	protein_coding	ENSG00000274556	ENSG00000274556.1
	snRNA	ENSG00000277551	ENSG00000277551.1
	unprocessed_pseudogene	ENSG00000275795	ENSG00000275795.1
KIR2DL5B	protein_coding	ENSG00000275937	ENSG00000275937.1
KIR2DS2	protein_coding	ENSG00000277885	ENSG00000277885.1
KIR3DL2	protein_coding	ENSG00000275083	ENSG00000275083.4
KIR2DL2	protein_coding	ENSG00000276011	ENSG00000276011.1
KIR3DL3	protein_coding	ENSG00000277552	ENSG00000277552.1
KIR2DP1	unprocessed_pseudogene	ENSG00000275815	ENSG00000275815.1
KIR2DL3	protein_coding	ENSG00000278327	ENSG00000278327.5
KIR2DS1	protein_coding	ENSG00000273517	ENSG00000273517.1
FCAR	protein_coding	ENSG00000275136	ENSG00000275136.4
KIR3DL3	protein_coding	ENSG00000277596	ENSG00000277596.1
KIR3DL2	protein_coding	ENSG00000275262	ENSG00000275262.4
	unprocessed_pseudogene	ENSG00000275059	ENSG00000275059.1
KIR2DL3	protein_coding	ENSG00000273887	ENSG00000273887.1
	transcribed_unprocessed_pseudogene	ENSG00000277271	ENSG00000277271.4
KIR2DS5	protein_coding	ENSG00000274563	ENSG00000274563.1
NCR1	protein_coding	ENSG00000276450	ENSG00000276450.1
	unprocessed_pseudogene	ENSG00000275247	ENSG00000275247.1
	snRNA	ENSG00000276552	ENSG00000276552.1
	unprocessed_pseudogene	ENSG00000277729	ENSG00000277729.1
KIR2DS1	protein_coding	ENSG00000278304	ENSG00000278304.1
	unprocessed_pseudogene	ENSG00000274106	ENSG00000274106.1
FCAR	protein_coding	ENSG00000275970	ENSG00000275970.4
KIR3DL1	protein_coding	ENSG00000275288	ENSG00000275288.6
KRT18P40	unprocessed_pseudogene	ENSG00000277976	ENSG00000277976.1
	lncRNA	ENSG00000279974	ENSG00000279974.1
KIR2DP1	unprocessed_pseudogene	ENSG00000278329	ENSG00000278329.1
KIR2DL1	protein_coding	ENSG00000273794	ENSG00000273794.4
ZNF430	protein_coding	ENSG00000278780	ENSG00000278780.4
	processed_pseudogene	ENSG00000282429	ENSG00000282429.1
KIR2DL3	protein_coding	ENSG00000274108	ENSG00000274108.5
KIR2DL5A	protein_coding	ENSG00000276686	ENSG00000276686.1
KIR2DL1	protein_coding	ENSG00000277356	ENSG00000277356.1
SNTG2	protein_coding	ENSG00000281486	ENSG00000281486.1
	lncRNA	ENSG00000280271	ENSG00000280271.1
ZNF43	protein_coding	ENSG00000279566	ENSG00000279566.1
KIR2DL4	protein_coding	ENSG00000278201	ENSG00000278201.4
KIR2DP1	unprocessed_pseudogene	ENSG00000274912	ENSG00000274912.1
	processed_pseudogene	ENSG00000279614	ENSG00000279614.1
KIR2DS4	protein_coding	ENSG00000276395	ENSG00000276395.1
ZNF100	protein_coding	ENSG00000274746	ENSG00000274746.4
IMPDH1P5	processed_pseudogene	ENSG00000282534	ENSG00000282534.1
ADI1	protein_coding	ENSG00000280830	ENSG00000280830.1
DLG5	protein_coding	ENSG00000274429	ENSG00000274429.2
	lncRNA	ENSG00000280579	ENSG00000280579.1
KIR2DL1	protein_coding	ENSG00000276310	ENSG00000276310.1
TRAPPC12	protein_coding	ENSG00000274891	ENSG00000274891.3
NCR1	protein_coding	ENSG00000278025	ENSG00000278025.4
	lncRNA	ENSG00000280708	ENSG00000280708.1
	lncRNA	ENSG00000281416	ENSG00000281416.1
PPIAL4F	protein_coding	ENSG00000275974	ENSG00000275974.2
	TEC	ENSG00000280460	ENSG00000280460.1
KIR3DL3	protein_coding	ENSG00000274786	ENSG00000274786.1
	lncRNA	ENSG00000274449	ENSG00000274449.1
CCNYL6	processed_pseudogene	ENSG00000279280	ENSG00000279280.1
	snRNA	ENSG00000274708	ENSG00000274708.1
	TEC	ENSG00000279318	ENSG00000279318.1
	snRNA	ENSG00000274574	ENSG00000274574.1
	unprocessed_pseudogene	ENSG00000276999	ENSG00000276999.1
RNVU1-26	snRNA	ENSG00000273990	ENSG00000273990.1
RNVU1-2A	snRNA	ENSG00000273757	ENSG00000273757.1
BRI3BPP1	transcribed_processed_pseudogene	ENSG00000279112	ENSG00000279112.1
ZNF85	protein_coding	ENSG00000278091	ENSG00000278091.4
VN1R84P	unprocessed_pseudogene	ENSG00000280218	ENSG00000280218.1
MTDHP4	processed_pseudogene	ENSG00000280066	ENSG00000280066.1
	lncRNA	ENSG00000280770	ENSG00000280770.1
	lncRNA	ENSG00000281723	ENSG00000281723.1
KIR3DS1	protein_coding	ENSG00000274465	ENSG00000274465.5
KIR3DP1	protein_coding	ENSG00000274610	ENSG00000274610.1
KIR2DL4	protein_coding	ENSG00000277750	ENSG00000277750.1
KIR2DL4	protein_coding	ENSG00000278271	ENSG00000278271.1
KIR2DL1	protein_coding	ENSG00000278755	ENSG00000278755.1
PIWIL1	protein_coding	ENSG00000275051	ENSG00000275051.2
FCAR	protein_coding	ENSG00000275269	ENSG00000275269.4
	unprocessed_pseudogene	ENSG00000276808	ENSG00000276808.1
	snRNA	ENSG00000278190	ENSG00000278190.1
KIR2DL4	protein_coding	ENSG00000273498	ENSG00000273498.4
	unprocessed_pseudogene	ENSG00000276324	ENSG00000276324.1
LILRP1	unprocessed_pseudogene	ENSG00000277240	ENSG00000277240.1
KIR2DP1	unprocessed_pseudogene	ENSG00000273955	ENSG00000273955.1
KIR2DS4	protein_coding	ENSG00000274947	ENSG00000274947.1
RNU6-222P	snRNA	ENSG00000277153	ENSG00000277153.1
SNTG2	protein_coding	ENSG00000281020	ENSG00000281020.2
	snRNA	ENSG00000275021	ENSG00000275021.1
LILRP2	transcribed_processed_pseudogene	ENSG00000276243	ENSG00000276243.4
OR9G4	protein_coding	ENSG00000262647	ENSG00000262647.3
OR5G3	polymorphic_pseudogene	ENSG00000281107	ENSG00000281107.1
OR9G3P	unprocessed_pseudogene	ENSG00000262268	ENSG00000262268.3
OR5G1P	unprocessed_pseudogene	ENSG00000281313	ENSG00000281313.1
	unprocessed_pseudogene	ENSG00000274082	ENSG00000274082.1
	snRNA	ENSG00000275168	ENSG00000275168.1
OR5G4P	unprocessed_pseudogene	ENSG00000281279	ENSG00000281279.1
	unprocessed_pseudogene	ENSG00000275321	ENSG00000275321.1
OR5G5P	transcribed_unprocessed_pseudogene	ENSG00000262535	ENSG00000262535.5
BNIP3P24	processed_pseudogene	ENSG00000280428	ENSG00000280428.1
	lncRNA	ENSG00000280030	ENSG00000280030.1
ZNF66	protein_coding	ENSG00000275050	ENSG00000275050.4
OR9G2P	unprocessed_pseudogene	ENSG00000281777	ENSG00000281777.1
	protein_coding	ENSG00000277630	ENSG00000277630.4
OR9G1	protein_coding	ENSG00000261958	ENSG00000261958.1
	processed_pseudogene	ENSG00000281683	ENSG00000281683.1
OR9G9	protein_coding	ENSG00000262191	ENSG00000262191.1
LINC02735	lncRNA	ENSG00000281839	ENSG00000281839.1
	misc_RNA	ENSG00000276197	ENSG00000276197.1
RNA5-8SN5	rRNA	ENSG00000274917	ENSG00000274917.1
	rRNA	ENSG00000273730	ENSG00000273730.1
LILRP1	unprocessed_pseudogene	ENSG00000274545	ENSG00000274545.1
KIR2DP1	unprocessed_pseudogene	ENSG00000273522	ENSG00000273522.1
	misc_RNA	ENSG00000273937	ENSG00000273937.1
KIR3DL3	protein_coding	ENSG00000278490	ENSG00000278490.1
KIR3DL2	protein_coding	ENSG00000278726	ENSG00000278726.4
TPO	protein_coding	ENSG00000277603	ENSG00000277603.4
	protein_coding	ENSG00000267728	ENSG00000267728.3
KRTAP9-2	protein_coding	ENSG00000263090	ENSG00000263090.5
	pseudogene	ENSG00000278573	ENSG00000278573.1
KIR3DP1	unprocessed_pseudogene	ENSG00000277560	ENSG00000277560.1
KIR2DS4	polymorphic_pseudogene	ENSG00000276465	ENSG00000276465.1
KIR3DL2	protein_coding	ENSG00000275416	ENSG00000275416.4
	snRNA	ENSG00000278625	ENSG00000278625.1
	protein_coding	ENSG00000277196	ENSG00000277196.4
KIR3DL3	protein_coding	ENSG00000277392	ENSG00000277392.1
	snRNA	ENSG00000278230	ENSG00000278230.1
	transcribed_unprocessed_pseudogene	ENSG00000276512	ENSG00000276512.4
KRTAP9-4	protein_coding	ENSG00000262512	ENSG00000262512.2
KRTAP9-3	protein_coding	ENSG00000262749	ENSG00000262749.2
KCNQ2-AS1	lncRNA	ENSG00000281651	ENSG00000281651.1
KRTAP9-10P	unprocessed_pseudogene	ENSG00000263103	ENSG00000263103.1
KIR3DL3	protein_coding	ENSG00000274254	ENSG00000274254.1
KCNQ2	protein_coding	ENSG00000281151	ENSG00000281151.2
	protein_coding	ENSG00000267635	ENSG00000267635.1
	unprocessed_pseudogene	ENSG00000267208	ENSG00000267208.1
